Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2010-08-13,,Braga,3–1,Portimonense,,Estádio Municipal de Braga ,Carlos Xistra,Match Report,
1,Sat,2010-08-14,,Marítimo,0–1,Vitória Setúbal,,Estádio dos Barreiros ,Jorge Sousa,Match Report,
1,Sat,2010-08-14,,Paços,1–0,Sporting CP,,Estádio da Capital do Móvel ,Artur Soares Dias,Match Report,
1,Sat,2010-08-14,,Naval,0–1,Porto,,Estádio Municipal José Bento Pessoa ,Paulo Baptista,Match Report,
1,Sun,2010-08-15,,Benfica,1–2,Académica,,Estádio do Sport Lisboa e Benfica ,Cosme Machado,Match Report,
1,Sun,2010-08-15,,Beira-Mar,0–0,União de Leiria,,Estádio Municipal de Aveiro ,Hugo Miguel,Match Report,
1,Sun,2010-08-15,,Rio Ave,0–1,Nacional,,Estádio do Rio Ave Futebol Clube ,Bruno Paixão,Match Report,
1,Mon,2010-08-16,,Olhanense,0–0,Vitória,,Estádio José Arcanjo ,Duarte Gomes,Match Report,

2,Fri,2010-08-20,,Académica,1–1,Olhanense,,Estádio EFAPEL ,Marco Ferreira,Match Report,
2,Sat,2010-08-21,,Vitória Setúbal,0–0,Braga,,Estádio do Bonfim ,Artur Soares Dias,Match Report,
2,Sat,2010-08-21,,Nacional,2–1,Benfica,,Estádio da Madeira ,Pedro Proença,Match Report,
2,Sun,2010-08-22,,União de Leiria,0–0,Paços,,Estádio Dr. Magalhães Pessoa ,Bruno Esteves,Match Report,
2,Sun,2010-08-22,,Sporting CP,1–0,Marítimo,,Estádio José Alvalade ,Bruno Paixão,Match Report,
2,Sun,2010-08-22,,Portimonense,0–1,Naval,,Estádio do Portimonense SC ,Vasco Santos,Match Report,
2,Sun,2010-08-22,,Porto,3–0,Beira-Mar,,Estádio Do Dragão ,João Capela,Match Report,
2,Mon,2010-08-23,,Vitória,0–0,Rio Ave,,Estádio Dom Afonso Henriques ,Rui Costa,Match Report,

3,Sat,2010-08-28,,Benfica,3–0,Vitória Setúbal,,Estádio do Sport Lisboa e Benfica ,Vasco Santos,Match Report,
3,Sat,2010-08-28,,Nacional,1–3,Vitória,,Estádio da Madeira ,Hugo Miguel,Match Report,
3,Sun,2010-08-29,,Paços,2–2,Portimonense,,Estádio da Capital do Móvel ,André Gralha,Match Report,
3,Sun,2010-08-29,,Beira-Mar,2–1,Académica,,Estádio Municipal de Aveiro ,Luís Catita,Match Report,
3,Sun,2010-08-29,,Olhanense,1–0,União de Leiria,,Estádio José Arcanjo ,Hugo Pacheco,Match Report,
3,Sun,2010-08-29,,Braga,1–0,Marítimo,,Estádio Municipal de Braga ,Duarte Gomes,Match Report,
3,Sun,2010-08-29,,Rio Ave,0–2,Porto,,Estádio do Rio Ave Futebol Clube ,Jorge Sousa,Match Report,
3,Mon,2010-08-30,,Naval,1–3,Sporting CP,,Estádio Municipal José Bento Pessoa ,Elmano Santos,Match Report,

4,Fri,2010-09-10,,Vitória,2–1,Benfica,,Estádio Dom Afonso Henriques ,Olegário Benquerença,Match Report,
4,Sat,2010-09-11,,Porto,3–2,Braga,,Estádio Do Dragão ,Pedro Proença,Match Report,
4,Sat,2010-09-11,,Sporting CP,0–0,Olhanense,,Estádio José Alvalade ,André Gralha,Match Report,
4,Sun,2010-09-12,,Marítimo,1–1,Paços,,Estádio dos Barreiros ,Cosme Machado,Match Report,
4,Sun,2010-09-12,,Académica,3–0,Naval,,Estádio EFAPEL ,Bruno Esteves,Match Report,
