Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,8/28/10,,Roma,0–0,Cesena,,,Gabriele Gava,Match Report,
1,Sat,8/28/10,,Udinese,0–1,Genoa,,,Gianluca Rocchi,Match Report,
1,Sun,8/29/10,,Bari,1–0,Juventus,,,Luca Banti,Match Report,
1,Sun,8/29/10,,Parma,2–0,Brescia,,,Antonio Damato,Match Report,
1,Sun,8/29/10,,Palermo,0–0,Cagliari,,,Emidio Morganti,Match Report,
1,Sun,8/29/10,,Sampdoria,2–0,Lazio,,,Andrea Romeo,Match Report,
1,Sun,8/29/10,,Chievo,2–1,Catania,,,Mauro Bergonzi,Match Report,
1,Sun,8/29/10,,Fiorentina,1–1,Napoli,,,Andrea Gervasoni,Match Report,
1,Sun,8/29/10,,Milan,4–0,Lecce,,,Sebastiano Peruzzo,Match Report,
1,Mon,8/30/10,,Bologna,0–0,Inter,,,Paolo Valeri,Match Report,
,,,,,,,,,,,
2,Sat,9/11/10,,Cagliari,5–1,Roma,,,Domenico Celi,Match Report,
2,Sat,9/11/10,,Inter,2–1,Udinese,,,Christian Brighi,Match Report,
2,Sat,9/11/10,,Cesena,2–0,Milan,,,Carmine Russo,Match Report,
2,Sun,9/12/10,,Lecce,1–0,Fiorentina,,,Daniele Orsato,Match Report,
2,Sun,9/12/10,,Genoa,1–3,Chievo,,,Nicola Pierpaoli,Match Report,
2,Sun,9/12/10,,Brescia,3–2,Palermo,,,Paolo Tagliavento,Match Report,
2,Sun,9/12/10,,Napoli,2–2,Bari,,,Andrea De Marco,Match Report,
2,Sun,9/12/10,,Catania,2–1,Parma,,,Dino Tommasi,Match Report,
2,Sun,9/12/10,,Lazio,3–1,Bologna,,,Antonio Giannoccaro,Match Report,
2,Sun,9/12/10,,Juventus,3–3,Sampdoria,,,Paolo Mazzoleni,Match Report,
,,,,,,,,,,,
3,Sat,9/18/10,,Milan,1–1,Catania,,,Emidio Morganti,Match Report,
3,Sat,9/18/10,,Fiorentina,1–2,Lazio,,,Antonio Damato,Match Report,
3,Sun,9/19/10,,Udinese,0–4,Juventus,,,Mauro Bergonzi,Match Report,
3,Sun,9/19/10,,Parma,1–1,Genoa,,,Nicola Rizzoli,Match Report,
3,Sun,9/19/10,,Bari,0–0,Cagliari,,,Andrea Gervasoni,Match Report,
3,Sun,9/19/10,,Chievo,0–1,Brescia,,,Gabriele Gava,Match Report,
3,Sun,9/19/10,,Cesena,1–0,Lecce,,,Gianluca Rocchi,Match Report,
3,Sun,9/19/10,,Roma,2–2,Bologna,,,Sebastiano Peruzzo,Match Report,
3,Sun,9/19/10,,Palermo,1–2,Inter,,,Andrea Romeo,Match Report,
3,Sun,9/19/10,,Sampdoria,1–2,Napoli,,,Paolo Valeri,Match Report,
,,,,,,,,,,,
4,Wed,9/22/10,,Inter,4–0,Bari,,,Paolo Mazzoleni,Match Report,
4,Wed,9/22/10,,Lazio,1–1,Milan,,,Luca Banti,Match Report,
4,Wed,9/22/10,,Bologna,2–1,Udinese,,,Domenico Celi,Match Report,
4,Wed,9/22/10,,Catania,2–0,Cesena,,,Andrea De Marco,Match Report,
4,Wed,9/22/10,,Lecce,1–1,Parma,,,Christian Brighi,Match Report,
4,Wed,9/22/10,,Cagliari,0–0,Sampdoria,,,Nicola Pierpaoli,Match Report,
4,Wed,9/22/10,,Genoa,1–1,Fiorentina,,,Paolo Tagliavento,Match Report,
4,Wed,9/22/10,,Napoli,1–3,Chievo,,,Antonio Giannoccaro,Match Report,
4,Wed,9/22/10,,Brescia,2–1,Roma,,,Carmine Russo,Match Report,
4,Thu,9/23/10,,Juventus,1–3,Palermo,,,Daniele Orsato,Match Report,
,,,,,,,,,,,
5,Sat,9/25/10,,Milan,1–0,Genoa,,,Paolo Valeri,Match Report,
5,Sat,9/25/10,,Roma,1–0,Inter,,,Emidio Morganti,Match Report,
5,Sun,9/26/10,,Catania,1–1,Bologna,,,Gabriele Gava,Match Report,
5,Sun,9/26/10,,Fiorentina,2–0,Parma,,,Andrea Romeo,Match Report,
5,Sun,9/26/10,,Chievo,0–1,Lazio,,,Sebastiano Peruzzo,Match Report,
5,Sun,9/26/10,,Palermo,2–2,Lecce,,,Mauro Bergonzi,Match Report,
5,Sun,9/26/10,,Juventus,4–2,Cagliari,,,Christian Brighi,Match Report,
5,Sun,9/26/10,,Cesena,1–4,Napoli,,,Antonio Damato,Match Report,
5,Sun,9/26/10,,Sampdoria,0–0,Udinese,,,Andrea Gervasoni,Match Report,
5,Sun,9/26/10,,Bari,2–1,Brescia,,,Marco Guida,Match Report,
,,,,,,,,,,,
6,Sat,10/2/10,,Parma,0–1,Milan,,,Daniele Orsato,Match Report,
6,Sat,10/2/10,,Udinese,1–0,Cesena,,,Nicola Rizzoli,Match Report,
6,Sun,10/3/10,,Genoa,2–1,Bari,,,Antonio Giannoccaro,Match Report,
6,Sun,10/3/10,,Lecce,1–0,Catania,,,Nicola Pierpaoli,Match Report,
6,Sun,10/3/10,,Fiorentina,1–2,Palermo,,,Paolo Mazzoleni,Match Report,
6,Sun,10/3/10,,Chievo,0–0,Cagliari,,,Andrea De Marco,Match Report,
6,Sun,10/3/10,,Bologna,1–1,Sampdoria,,,Leonardo Baracani,Match Report,
6,Sun,10/3/10,,Napoli,2–0,Roma,,,Paolo Tagliavento,Match Report,
6,Sun,10/3/10,,Inter,0–0,Juventus,,,Luca Banti,Match Report,
6,Sun,10/3/10,,Lazio,1–0,Brescia,,,Domenico Celi,Match Report,
,,,,,,,,,,,
7,Sat,10/16/10,,Roma,2–1,Genoa,,,Antonio Damato,Match Report,
7,Sat,10/16/10,,Milan,3–1,Chievo,,,Andrea Gervasoni,Match Report,
7,Sun,10/17/10,,Catania,1–1,Napoli,,,Mauro Bergonzi,Match Report,
7,Sun,10/17/10,,Cagliari,0–1,Inter,,,Paolo Tagliavento,Match Report,
7,Sun,10/17/10,,Bari,0–2,Lazio,,,Gianluca Rocchi,Match Report,
7,Sun,10/17/10,,Brescia,0–1,Udinese,,,Andrea Romeo,Match Report,
7,Sun,10/17/10,,Sampdoria,2–1,Fiorentina,,,Christian Brighi,Match Report,
7,Sun,10/17/10,,Juventus,4–0,Lecce,,,Gabriele Gava,Match Report,
7,Sun,10/17/10,,Palermo,4–1,Bologna,,,Paolo Valeri,Match Report,
7,Sun,10/17/10,,Cesena,1–1,Parma,,,Emidio Morganti,Match Report,
,,,,,,,,,,,
8,Sat,10/23/10,,Fiorentina,2–1,Bari,,,Emidio Morganti,Match Report,
8,Sun,10/24/10,,Parma,0–0,Roma,,,Luca Banti,Match Report,
8,Sun,10/24/10,,Inter,1–1,Sampdoria,,,Daniele Orsato,Match Report,
8,Sun,10/24/10,,Genoa,1–0,Catania,,,Carmine Russo,Match Report,
8,Sun,10/24/10,,Lecce,2–1,Brescia,,,Sebastiano Peruzzo,Match Report,
8,Sun,10/24/10,,Chievo,2–1,Cesena,,,Daniele Doveri,Match Report,
8,Sun,10/24/10,,Udinese,2–1,Palermo,,,Antonio Giannoccaro,Match Report,
8,Sun,10/24/10,,Bologna,0–0,Juventus,,,Andrea De Marco,Match Report,
8,Sun,10/24/10,,Lazio,2–1,Cagliari,,,Paolo Mazzoleni,Match Report,
8,Mon,10/25/10,,Napoli,1–2,Milan,,,Nicola Rizzoli,Match Report,
,,,,,,,,,,,
9,Fri,10/29/10,,Genoa,0–1,Inter,,,Luca Banti,Match Report,
9,Sat,10/30/10,,Milan,1–2,Juventus,,,Gianluca Rocchi,Match Report,
9,Sat,10/30/10,,Roma,2–0,Lecce,,,Andrea Gervasoni,Match Report,
9,Sun,10/31/10,,Bari,0–2,Udinese,,,Nicola Pierpaoli,Match Report,
9,Sun,10/31/10,,Parma,0–0,Chievo,,,Paolo Tagliavento,Match Report,
9,Sun,10/31/10,,Brescia,0–1,Napoli,,,Paolo Valeri,Match Report,
9,Sun,10/31/10,,Cesena,0–1,Sampdoria,,,Domenico Celi,Match Report,
9,Sun,10/31/10,,Cagliari,2–0,Bologna,,,Mauro Bergonzi,Match Report,
9,Sun,10/31/10,,Catania,0–0,Fiorentina,,,Nicola Rizzoli,Match Report,
9,Sun,10/31/10,,Palermo,0–1,Lazio,,,Antonio Damato,Match Report,
,,,,,,,,,,,
10,Sat,11/6/10,,Inter,1–1,Brescia,,,Gabriele Gava,Match Report,
10,Sat,11/6/10,,Bologna,2–0,Lecce,,,Daniele Orsato,Match Report,
10,Sun,11/7/10,,Sampdoria,0–0,Catania,,,Antonio Giannoccaro,Match Report,
10,Sun,11/7/10,,Fiorentina,1–0,Chievo,,,Carmine Russo,Match Report,
10,Sun,11/7/10,,Bari,2–3,Milan,,,Mauro Bergonzi,Match Report,
10,Sun,11/7/10,,Udinese,1–1,Cagliari,,,Riccardo Tozzi,Match Report,
10,Sun,11/7/10,,Juventus,3–1,Cesena,,,Andrea Romeo,Match Report,
10,Sun,11/7/10,,Lazio,0–2,Roma,,,Emidio Morganti,Match Report,
10,Sun,11/7/10,,Palermo,1–0,Genoa,,,Christian Brighi,Match Report,
10,Sun,11/7/10,,Napoli,2–0,Parma,,,Paolo Mazzoleni,Match Report,
,,,,,,,,,,,
11,Wed,11/10/10,,Milan,3–1,Palermo,,,Luca Banti,Match Report,
11,Wed,11/10/10,,Genoa,1–0,Bologna,,,Domenico Celi,Match Report,
11,Wed,11/10/10,,Cesena,1–0,Lazio,,,Daniele Orsato,Match Report,
11,Wed,11/10/10,,Lecce,1–1,Inter,,,Paolo Valeri,Match Report,
11,Wed,11/10/10,,Cagliari,0–1,Napoli,,,Gianluca Rocchi,Match Report,
11,Wed,11/10/10,,Chievo,0–0,Bari,,,Andrea Gervasoni,Match Report,
11,Wed,11/10/10,,Roma,3–2,Fiorentina,,,Mauro Bergonzi,Match Report,
11,Wed,11/10/10,,Brescia,1–1,Juventus,,,Antonio Damato,Match Report,
11,Wed,11/10/10,,Catania,1–0,Udinese,,,Andrea De Marco,Match Report,
11,Thu,11/11/10,,Parma,1–0,Sampdoria,,,Sebastiano Peruzzo,Match Report,
,,,,,,,,,,,
12,Sat,11/13/10,,Juventus,1–1,Roma,,,Nicola Rizzoli,Match Report,
12,Sat,11/13/10,,Fiorentina,1–0,Cesena,,,Antonio Giannoccaro,Match Report,
12,Sun,11/14/10,,Bari,0–1,Parma,,,Christian Brighi,Match Report,
12,Sun,11/14/10,,Inter,0–1,Milan,,,Paolo Tagliavento,Match Report,
12,Sun,11/14/10,,Cagliari,0–1,Genoa,,,Andrea Romeo,Match Report,
12,Sun,11/14/10,,Sampdoria,0–0,Chievo,,,Riccardo Pinzani,Match Report,
12,Sun,11/14/10,,Udinese,4–0,Lecce,,,Paolo Mazzoleni,Match Report,
12,Sun,11/14/10,,Palermo,3–1,Catania,,,Paolo Valeri,Match Report,
12,Sun,11/14/10,,Lazio,2–0,Napoli,,,Mauro Bergonzi,Match Report,
12,Sun,11/14/10,,Bologna,1–0,Brescia,,,Nicola Pierpaoli,Match Report,
,,,,,,,,,,,
13,Sat,11/20/10,,Roma,2–0,Udinese,,,Daniele Orsato,Match Report,
13,Sat,11/20/10,,Milan,1–0,Fiorentina,,,Antonio Damato,Match Report,
13,Sun,11/21/10,,Napoli,4–1,Bologna,,,Andrea Gervasoni,Match Report,
13,Sun,11/21/10,,Catania,1–0,Bari,,,Carmine Russo,Match Report,
13,Sun,11/21/10,,Chievo,2–1,Inter,,,Gianluca Rocchi,Match Report,
13,Sun,11/21/10,,Genoa,0–2,Juventus,,,Emidio Morganti,Match Report,
13,Sun,11/21/10,,Lecce,2–3,Sampdoria,,,Gabriele Gava,Match Report,
13,Sun,11/21/10,,Parma,1–1,Lazio,,,Nicola Rizzoli,Match Report,
13,Sun,11/21/10,,Cesena,1–2,Palermo,,,Andrea De Marco,Match Report,
13,Sun,11/21/10,,Brescia,1–2,Cagliari,,,Domenico Celi,Match Report,
,,,,,,,,,,,
14,Sat,11/27/10,,Juventus,1–1,Fiorentina,,,Paolo Valeri,Match Report,
14,Sat,11/27/10,,Sampdoria,1–1,Milan,,,Paolo Mazzoleni,Match Report,
14,Sun,11/28/10,,Cagliari,3–2,Lecce,,,Andrea De Marco,Match Report,
14,Sun,11/28/10,,Bari,1–1,Cesena,,,Paolo Tagliavento,Match Report,
14,Sun,11/28/10,,Lazio,1–1,Catania,,,Gabriele Gava,Match Report,
14,Sun,11/28/10,,Udinese,3–1,Napoli,,,Andrea Romeo,Match Report,
14,Sun,11/28/10,,Brescia,0–0,Genoa,,,Luca Banti,Match Report,
14,Sun,11/28/10,,Palermo,3–1,Roma,,,Christian Brighi,Match Report,
14,Sun,11/28/10,,Inter,5–2,Parma,,,Antonio Giannoccaro,Match Report,
,,,,,,,,,,,
15,Fri,12/3/10,,Lazio,3–1,Inter,,,Daniele Orsato,Match Report,
15,Sat,12/4/10,,Chievo,2–2,Roma,,,Nicola Rizzoli,Match Report,
15,Sat,12/4/10,,Milan,3–0,Brescia,,,Andrea Gervasoni,Match Report,
15,Sun,12/5/10,,Cesena,0–2,Bologna,,,Mauro Bergonzi,Match Report,
15,Sun,12/5/10,,Catania,1–3,Juventus,,,Antonio Damato,Match Report,
15,Sun,12/5/10,,Parma,2–1,Udinese,,,Domenico Celi,Match Report,
15,Sun,12/5/10,,Fiorentina,1–0,Cagliari,,,Sebastiano Peruzzo,Match Report,
15,Sun,12/5/10,,Sampdoria,3–0,Bari,,,Nicola Pierpaoli,Match Report,
15,Sun,12/5/10,,Lecce,1–3,Genoa,,,Carmine Russo,Match Report,
15,Mon,12/6/10,,Napoli,1–0,Palermo,,,Emidio Morganti,Match Report,
,,,,,,,,,,,
14,Wed,12/8/10,,Bologna,2–1,Chievo,,,Marco Guida,Match Report,
,,,,,,,,,,,
16,Sat,12/11/10,,Genoa,0–1,Napoli,,,Christian Brighi,Match Report,
16,Sat,12/11/10,,Udinese,2–1,Fiorentina,,,Andrea De Marco,Match Report,
16,Sat,12/11/10,,Palermo,3–1,Parma,,,Gabriele Gava,Match Report,
16,Sun,12/12/10,,Cagliari,3–0,Catania,,,Dino Tommasi,Match Report,
16,Sun,12/12/10,,Lecce,3–2,Chievo,,,Luca Banti,Match Report,
