Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,8/20/10,,Bayern Munich,2–1,Wolfsburg,,,Thorsten Kinhöfer,Match Report,
1,Sat,8/21/10,,Köln,1–3,Kaiserslautern,,,Felix Brych,Match Report,
1,Sat,8/21/10,,Hamburger SV,2–1,Schalke 04,,,Wolfgang Stark,Match Report,
1,Sat,8/21/10,,M'Gladbach,1–1,Nürnberg,,,Peter Gagelmann,Match Report,
1,Sat,8/21/10,,Hannover 96,2–1,Eint Frankfurt,,,Deniz Aytekin,Match Report,
1,Sat,8/21/10,,Freiburg,1–3,St. Pauli,,,Jochen Drees,Match Report,
1,Sat,8/21/10,,Hoffenheim,4–1,Werder Bremen,,,Günter Perl,Match Report,
1,Sun,8/22/10,,Dortmund,0–2,Leverkusen,,,Florian Meyer,Match Report,
1,Sun,8/22/10,,Mainz 05,2–0,Stuttgart,,,Manuel Gräfe,Match Report,
,,,,,,,,,,,
2,Fri,8/27/10,,Kaiserslautern,2–0,Bayern Munich,,,Florian Meyer,Match Report,
2,Sat,8/28/10,,Werder Bremen,4–2,Köln,,,Marco Fritz,Match Report,
2,Sat,8/28/10,,Eint Frankfurt,1–3,Hamburger SV,,,Felix Zwayer,Match Report,
2,Sat,8/28/10,,Nürnberg,1–2,Freiburg,,,Tobias Welz,Match Report,
2,Sat,8/28/10,,St. Pauli,0–1,Hoffenheim,,,Manuel Gräfe,Match Report,
2,Sat,8/28/10,,Wolfsburg,3–4,Mainz 05,,,Peter Sippel,Match Report,
2,Sat,8/28/10,,Schalke 04,1–2,Hannover 96,,,Markus Schmidt,Match Report,
2,Sun,8/29/10,,Leverkusen,3–6,M'Gladbach,,,Wolfgang Stark,Match Report,
2,Sun,8/29/10,,Stuttgart,1–3,Dortmund,,,Peter Gagelmann,Match Report,
,,,,,,,,,,,
3,Fri,9/10/10,,Hoffenheim,2–0,Schalke 04,,,Felix Brych,Match Report,
3,Sat,9/11/10,,Bayern Munich,0–0,Werder Bremen,,,Knut Kircher,Match Report,
3,Sat,9/11/10,,Hannover 96,2–2,Leverkusen,,,Guido Winkmann,Match Report,
3,Sat,9/11/10,,Dortmund,2–0,Wolfsburg,,,Deniz Aytekin,Match Report,
3,Sat,9/11/10,,Freiburg,2–1,Stuttgart,,,Peter Sippel,Match Report,
3,Sat,9/11/10,,Hamburger SV,1–1,Nürnberg,,,Markus Wingenbach,Match Report,
3,Sat,9/11/10,,M'Gladbach,0–4,Eint Frankfurt,,,Jochen Drees,Match Report,
3,Sun,9/12/10,,Köln,1–0,St. Pauli,,,Christian Dingert,Match Report,
3,Sun,9/12/10,,Mainz 05,2–1,Kaiserslautern,,,Thorsten Kinhöfer,Match Report,
,,,,,,,,,,,
4,Fri,9/17/10,,Eint Frankfurt,0–1,Freiburg,,,Günter Perl,Match Report,
4,Sat,9/18/10,,Bayern Munich,0–0,Köln,,,Felix Zwayer,Match Report,
4,Sat,9/18/10,,Wolfsburg,2–0,Hannover 96,,,Wolfgang Stark,Match Report,
4,Sat,9/18/10,,Kaiserslautern,2–2,Hoffenheim,,,Peter Gagelmann,Match Report,
4,Sat,9/18/10,,Werder Bremen,0–2,Mainz 05,,,Markus Schmidt,Match Report,
4,Sat,9/18/10,,Stuttgart,7–0,M'Gladbach,,,Markus Wingenbach,Match Report,
4,Sun,9/19/10,,Schalke 04,1–3,Dortmund,,,Manuel Gräfe,Match Report,
4,Sun,9/19/10,,St. Pauli,1–1,Hamburger SV,,,Florian Meyer,Match Report,
4,Sun,9/19/10,,Leverkusen,0–0,Nürnberg,,,Knut Kircher,Match Report,
,,,,,,,,,,,
5,Tue,9/21/10,,Hannover 96,4–1,Werder Bremen,,,Felix Brych,Match Report,
