Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2010-08-06,,Roda JC,0–0,Twente,,Parkstad Limburg Stadion,Ruud Bossen,Match Report,
1,Sat,2010-08-07,,De Graafschap,3–0,Excelsior,,De Vijverberg,Danny Makkelie,Match Report,
1,Sat,2010-08-07,,Heerenveen,1–3,PSV Eindhoven,,Abe Lenstra stadion,Pieter Vink,Match Report,
1,Sat,2010-08-07,,Heracles Almelo,3–0,Willem II,,Polman Stadion,Jack van Hulten,Match Report,
1,Sat,2010-08-07,,NEC Nijmegen,1–0,VVV-Venlo,,Goffertstadion,Björn Kuipers,Match Report,
1,Sun,2010-08-08,,Feyenoord,3–1,Utrecht,,De Kuip,Kevin Blom,Match Report,
1,Sun,2010-08-08,,NAC Breda,1–1,AZ Alkmaar,,Rat Verlegh Stadion,Tom van Sichem,Match Report,
1,Sun,2010-08-08,,Vitesse,3–1,ADO Den Haag,,GelreDome,Reinold Wiedemeijer,Match Report,
1,Sun,2010-08-08,,Groningen,2–2,Ajax,,Euroborg,Bas Nijhuis,Match Report,

2,Sat,2010-08-14,,AZ Alkmaar,1–1,Groningen,,AFAS Stadion,Kevin Blom,Match Report,
2,Sat,2010-08-14,,VVV-Venlo,1–0,Heracles Almelo,,Seacon Stadion - De Koel -,Pieter Vink,Match Report,
2,Sat,2010-08-14,,Twente,0–0,Heerenveen,,De Grolsch Veste,Pol van Boekel,Match Report,
2,Sat,2010-08-14,,Ajax,4–2,Vitesse,,Amsterdam ArenA,Björn Kuipers,Match Report,
2,Sat,2010-08-14,,PSV Eindhoven,6–0,De Graafschap,,Philips Stadion,Bas Nijhuis,Match Report,
2,Sun,2010-08-15,,Willem II,3–5,NEC Nijmegen,,Koning Willem II Stadion,Ed Janssen,Match Report,
2,Sun,2010-08-15,,Excelsior,3–2,Feyenoord,,Stadion Woudestein,Richard Liesveld,Match Report,
2,Sun,2010-08-15,,Utrecht,3–1,NAC Breda,,Galgenwaard,Eric Braamhaar,Match Report,
2,Sun,2010-08-15,,ADO Den Haag,1–3,Roda JC,,Kyocera Stadium,Tom van Sichem,Match Report,

3,Fri,2010-08-20,,Excelsior,4–2,NEC Nijmegen,,Stadion Woudestein,Pieter Vink,Match Report,
3,Sat,2010-08-21,,Vitesse,0–3,Twente,,GelreDome,Jack van Hulten,Match Report,
3,Sat,2010-08-21,,Ajax,3–0,Roda JC,,Amsterdam ArenA,Jan Wegereef,Match Report,
3,Sat,2010-08-21,,Heerenveen,3–1,NAC Breda,,Abe Lenstra stadion,Danny Makkelie,Match Report,
3,Sat,2010-08-21,,Groningen,2–1,De Graafschap,,Euroborg,Richard Liesveld,Match Report,
3,Sun,2010-08-22,,VVV-Venlo,2–3,ADO Den Haag,,Seacon Stadion - De Koel -,Bas Nijhuis,Match Report,
3,Sun,2010-08-22,,Heracles Almelo,1–1,Feyenoord,,Polman Stadion,Pol van Boekel,Match Report,
3,Sun,2010-08-22,,PSV Eindhoven,3–1,AZ Alkmaar,,Philips Stadion,Eric Braamhaar,Match Report,
3,Sun,2010-08-22,,Utrecht,3–0,Willem II,,Galgenwaard,Reinold Wiedemeijer,Match Report,

4,Fri,2010-08-27,,Willem II,0–3,Groningen,,Koning Willem II Stadion,Ruud Bossen,Match Report,
4,Sat,2010-08-28,,NEC Nijmegen,2–2,Heerenveen,,Goffertstadion,Eric Braamhaar,Match Report,
4,Sat,2010-08-28,,Roda JC,4–2,Heracles Almelo,,Parkstad Limburg Stadion,Björn Kuipers,Match Report,
4,Sat,2010-08-28,,NAC Breda,2–0,VVV-Venlo,,Rat Verlegh Stadion,Kevin Blom,Match Report,
4,Sun,2010-08-29,,AZ Alkmaar,1–1,Excelsior,,AFAS Stadion,Ed Janssen,Match Report,
4,Sun,2010-08-29,,Twente,4–0,Utrecht,,De Grolsch Veste,Richard Liesveld,Match Report,
4,Sun,2010-08-29,,ADO Den Haag,2–2,PSV Eindhoven,,Kyocera Stadium,Pol van Boekel,Match Report,
4,Sun,2010-08-29,,Feyenoord,4–0,Vitesse,,De Kuip,Reinold Wiedemeijer,Match Report,
4,Sun,2010-08-29,,De Graafschap,0–5,Ajax,,De Vijverberg,Ben Haverkort,Match Report,

