Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,8/28/10,,Hércules,0–1,Athletic Club,,José Rico Pérez,Rubinos Pérez,Match Report,
1,Sat,8/28/10,,Málaga,1–3,Valencia,,La Rosaleda,Muñiz Fernández,Match Report,
1,Sat,8/28/10,,Levante,1–4,Sevilla,,Ciutat de Valencia,Pérez Lasa,Match Report,
1,Sun,8/29/10,,Mallorca,0–0,Real Madrid,,Ono Estadi,Fernández Borbalán,Match Report,
1,Sun,8/29/10,,Racing Sant,0–3,Barcelona,,El Sardinero,Delgado Ferreiro,Match Report,
1,Sun,8/29/10,,La Coruña,0–0,Zaragoza,,Nuevo Riazor,Teixeira Vitienes,Match Report,
1,Sun,8/29/10,,Espanyol,3–1,Getafe,,Cornellà -El Prat,Ayza Gámez,Match Report,
1,Sun,8/29/10,,Real Sociedad,1–0,Villarreal,,Anoeta,González González,Match Report,
1,Sun,8/29/10,,Osasuna,0–0,Almería,,Reyno de Navarra,Álvarez Izquierdo,Match Report,
1,Mon,8/30/10,,Atlético Madrid,4–0,Sporting Gijón,,Vicente Calderón,Ramírez Domínguez,Match Report,
,,,,,,,,,,,
2,Sat,9/11/10,,Real Madrid,1–0,Osasuna,,Santiago Bernabéu,Teixeira Vitienes,Match Report,
2,Sat,9/11/10,,Barcelona,0–2,Hércules,,Nou Camp,Velasco Carballo,Match Report,
2,Sat,9/11/10,,Valencia,1–0,Racing Sant,,Mestalla,Paradas Romero,Match Report,
2,Sat,9/11/10,,Athletic Club,1–2,Atlético Madrid,,San Mamés,Undiano Mallenco,Match Report,
2,Sun,9/12/10,,Sporting Gijón,2–0,Mallorca,,El Molinón,Estrada Fernández,Match Report,
2,Sun,9/12/10,,Zaragoza,3–5,Málaga,,La Romareda,Mateu Lahoz,Match Report,
2,Sun,9/12/10,,Villarreal,4–0,Espanyol,,El Madrigal,Iturralde González,Match Report,
2,Sun,9/12/10,,Getafe,4–1,Levante,,Coliseum Alfonso Pérez,Clos Gómez,Match Report,
2,Sun,9/12/10,,Sevilla,0–0,La Coruña,,Ramón Sánchez Pizjuán,Turienzo Álvarez,Match Report,
2,Mon,9/13/10,,Almería,2–2,Real Sociedad,,Juegos del Mediterráneo,Iglesias Villanueva,Match Report,
,,,,,,,,,,,
3,Sat,9/18/10,,Espanyol,1–0,Almería,,Cornellà -El Prat,Teixeira Vitienes,Match Report,
3,Sat,9/18/10,,Mallorca,2–0,Osasuna,,Ono Estadi,Ayza Gámez,Match Report,
3,Sat,9/18/10,,Sporting Gijón,2–2,Athletic Club,,El Molinón,Álvarez Izquierdo,Match Report,
3,Sat,9/18/10,,Real Sociedad,1–2,Real Madrid,,Anoeta,Mateu Lahoz,Match Report,
3,Sun,9/19/10,,Málaga,1–2,Sevilla,,La Rosaleda,Delgado Ferreiro,Match Report,
