Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,8/7/10,,Paris S-G,3–1,Saint-Étienne,,Parc des Princes,Olivier Thual,Match Report,
1,Sat,8/7/10,,Rennes,1–1,Lille,,ROAZHON PARK,Sébastien Moreira,Match Report,
1,Sat,8/7/10,,Lyon,0–0,Monaco,,Stade Municipal de Gerland,Lionel Jaffredo,Match Report,
1,Sat,8/7/10,,Lens,1–2,Nancy,,Stade Bollaert,Ruddy Buquet,Match Report,
1,Sat,8/7/10,,Auxerre,2–2,Lorient,,Stade Abbé Deschamps,Bruno Coué,Match Report,
1,Sat,8/7/10,,Toulouse,2–0,Brest,,Stadium,Nicolas Rainville,Match Report,
1,Sat,8/7/10,,Marseille,1–2,Caen,,Stade Vélodrome,Alexandre Castro,Match Report,
1,Sat,8/7/10,,Nice,0–0,Valenciennes,,Allianz Riviera,Laurent Duhamel,Match Report,
1,Sat,8/7/10,,Sochaux,2–1,Arles-Avignon,,Stade Bonal,Jean-Charles Cailleux,Match Report,
1,Sun,8/8/10,,Montpellier,1–0,Bordeaux,,Stade de la Mosson et du Mondial 98,Saïd Ennjimi,Match Report,
,,,,,,,,,,,
2,Sat,8/14/10,,Arles-Avignon,0–1,Lens,,Parc des Sports,Bartolomeu Varela,Match Report,
2,Sat,8/14/10,,Valenciennes,3–2,Marseille,,Stade Nungesser,Sébastien Moreira,Match Report,
2,Sat,8/14/10,,Lorient,1–2,Nice,,Stade Yves Allainmat,Philippe Malige,Match Report,
2,Sat,8/14/10,,Saint-Étienne,3–2,Sochaux,,Stade Geoffroy,Clément Turpin,Match Report,
2,Sat,8/14/10,,Nancy,0–3,Rennes,,Stade Marcel Picot,Alexandre Castro,Match Report,
2,Sat,8/14/10,,Brest,1–1,Auxerre,,Stade Francis,Pascal Viléo,Match Report,
2,Sun,8/15/10,,Lille,0–0,Paris S-G,,Stadium Lille Métropole,Fredy Fautrel,Match Report,
